;;Video name;Instrument Type;Main goals;Target goal;Function;Fatigue related (cosa proporre dopo video pesante);Livello (1-10);Carico cognitivo (basso-medio-alto);Carico fisico (basso-medio-alto);Prerequisiti
1;https://www.youtube.com/watch?v=YO4lVVneGiU;Piccolo trumpet exercise - Slur 5th;PiccoloTrumpet;Sound development, intonation, intervals;Intervals;Core exercise;Mouthpiece, breathing;5;Alto;medio;
2;https://www.youtube.com/watch?v=WaGbO9T-2Mw;C TRUMPET 🎺 Flexibility exercise - Lowel Little;C;Intervals, flexibility, range;Flexibility;Check;Legato, sound centrature;4;Medio;medio;
3;https://www.youtube.com/watch?v=ywcZkQIVNe0;Trumpet embouchure - Interval exercise Lowel Little;Bflat;Intervals, flexibility, range;Flexibility;Check;Legato, sound centrature;4;Medio;medio;
4;https://www.youtube.com/watch?v=TqbHPifP1RM;Trumpet high register breathing workout 🎺;Breathing;Range, breathing, warmup, dynamics;Breathing;Warm up;Breathing;8;Alto;Alto;
5;https://www.youtube.com/watch?v=vTCLvUkOsbg;TROMBA in Do - Joseph Alessi n. 10 | Esercizio di staccato;C;Staccato, articulation, range;Staccato;Core exercise;Flexibility, mouthpiece;9;Alto;Alto;
6;https://www.youtube.com/watch?v=AUpvj9uFcqQ;Joseph Alessi no 10 - Trumpet routine play along;Bflat;Staccato, articulation, range;Staccato;Core exercise;Flexibility, mouthpiece;9;Alto;Alto;
7;https://www.youtube.com/watch?v=zTrgN0jCMo4;Colin 3rd book - 1st exercise - C Trumpet;C;Lip trill, flexibility, intervals;Flexibility;Recovery;Staccato simple, breathing;4;Medio;Basso;
8;https://www.youtube.com/watch?v=Zuv5p0ppgRU;Colin 3rd book - 1st exercise lip flexibility trumpet;Bflat;Lip trill, flexibility, intervals;Flexibility;Recovery;Staccato simple, breathing;4;Medio;Basso;
9;https://www.youtube.com/watch?v=kJ6eYc1BPgY;(C TRUMPET EN DO) Trumpet Exercise to build range, power & endurance (Plog Book 6 - Exercise 1);C;Warmup, sound development, dynamics, airflow, mouthpiece, legato;Legato;Warm up;Staccato simple, flexibility;2;Alto;Basso;
10;https://www.youtube.com/watch?v=wswlot0Bvsg;(MOUTHPIECE as well) Trumpet Exercise to build range, power & endurance (Plog Book 6 - Exercise 1);Bflat;Warmup, sound development, dynamics, airflow, mouthpiece;Legato;Warm up;Staccato simple, flexibility;2;Alto;Basso;
11;https://www.youtube.com/watch?v=x5sgpRxhvZQ;C 🎺 TRUMPET Clarke 2 series trumpet | BPM=100 |;C;Dexterity, range, speed, legato, staccato, range, dynamics;Dexterity;Core exercise;Low register;10;Alto;Alto;
12;https://www.youtube.com/watch?v=g-tZjZu7RPg;🎺 Respira con la tromba: Esercizio di respirazione guidato con cerchio animato (Inspirazione / Es...;Breathing;Fast breathing, range;Breathing;Warm up, recovery;REST;5;Basso;Basso;
13;https://www.youtube.com/watch?v=GpaWA8agcVY;Clarke 2 series trumpet | BPM=100 | 🎺;Bflat;Dexterity, range, speed, legato, staccato, range;Dexterity;Core exercise;Low register;10;Alto;Alto;
14;https://www.youtube.com/watch?v=6RkcQrBnaLA;Arban 81 double tonguing exercise | Play along for;Bflat;Double staccato, articulations, range;Staccato;Core exercise;Flexibility, legato;7;Alto;Alto;
